# detrended lc with Rbf (quintic, 100)
# t, f, x, y
3076.605440 0.999852 0.999845 0.999961
3076.625874 1.000124 0.999822 0.999959
3076.646307 1.000235 0.999827 0.999958
3076.666741 1.000221 0.999834 0.999959
3076.687174 1.000305 0.999845 0.999958
3076.707608 1.000176 0.999852 0.999960
3076.728042 1.000250 0.999859 0.999959
3076.748475 1.000287 0.999869 0.999960
3076.768909 1.000373 0.999877 0.999960
3076.789342 1.000397 0.999886 0.999962
3076.809776 1.000404 0.999894 0.999963
3076.830210 1.000460 0.999916 0.999963
3076.850643 1.000450 0.999921 0.999963
3076.871077 1.000351 0.999933 0.999968
3076.891511 1.000437 0.999940 0.999968
3076.911944 1.000481 0.999944 0.999967
3076.932378 1.000440 0.999955 0.999969
3076.952811 1.000543 0.999962 0.999968
3076.973245 1.000661 0.999972 0.999967
3076.993679 1.000594 0.999983 0.999968
3077.014112 1.000508 0.999994 0.999969
3077.034546 1.000571 0.999999 0.999969
3077.054979 1.000580 1.000007 0.999970
3077.075413 1.000167 0.999862 0.999961
3077.095846 1.000222 0.999841 0.999958
3077.116280 1.000315 0.999843 0.999958
3077.136714 1.000520 0.999851 0.999957
3077.157147 1.000302 0.999864 0.999958
3077.177581 1.000350 0.999869 0.999959
3077.198015 1.000443 0.999876 0.999960
3077.218448 1.000393 0.999882 0.999961
3077.238882 1.000512 0.999891 0.999961
3077.259315 1.000400 0.999899 0.999963
3077.279749 1.000474 0.999910 0.999963
3077.300183 1.000514 0.999917 0.999964
3077.320616 1.000469 0.999921 0.999966
3077.341050 1.000500 0.999928 0.999966
3077.361483 1.000493 0.999933 0.999967
3077.381917 1.000546 0.999939 0.999968
3077.402350 1.000571 0.999942 0.999967
3077.422784 1.000621 0.999950 0.999967
3077.443218 1.000523 0.999961 0.999969
3077.463651 0.992360 1.000062 1.000005
3077.484085 0.985847 1.000144 1.000034
3077.504519 0.986968 1.000142 1.000029
3077.524952 0.998213 1.000021 0.999981
3077.545386 1.000512 1.000000 0.999971
3077.565819 1.000340 0.999909 0.999963
3077.586253 1.000442 0.999903 0.999963
3077.606687 1.000566 0.999908 0.999963
3077.627120 1.000429 0.999914 0.999965
3077.647554 1.000424 0.999919 0.999967
3077.667987 1.000501 0.999926 0.999966
3077.688421 1.000609 0.999934 0.999966
3077.708855 1.000588 0.999938 0.999967
3077.729288 1.000517 0.999951 0.999968
3077.749722 1.000649 0.999955 0.999968
3077.770155 1.000590 0.999963 0.999969
3077.790589 1.000616 0.999971 0.999970
3077.811023 1.000103 0.999851 0.999961
3077.831456 1.000213 0.999837 0.999960
3077.851890 1.000278 0.999844 0.999959
3077.872323 1.000261 0.999853 0.999959
3077.892757 1.000393 0.999857 0.999959
3077.913191 1.000405 0.999864 0.999960
3077.933624 1.000432 0.999870 0.999960
3077.954058 1.000491 0.999879 0.999960
3077.974491 1.000429 0.999888 0.999962
3077.994925 1.000407 0.999897 0.999963
3078.015359 1.000298 0.999910 0.999965
3078.035792 1.000541 0.999911 0.999964
3078.056226 1.000540 0.999919 0.999965
3078.076659 1.000462 0.999928 0.999966
3078.097093 1.000560 0.999932 0.999966
3078.117527 1.000524 0.999940 0.999967
3078.137960 1.001359 0.999943 0.999965
3078.158394 1.000436 0.999955 0.999970
3078.178827 1.000614 0.999960 0.999969
3078.199261 1.000697 0.999967 0.999970
3078.219695 1.000639 0.999979 0.999970
3078.240128 1.000608 0.999989 0.999970
3078.260562 1.000548 0.999994 0.999971
3078.280995 1.000474 1.000008 0.999972
3078.301429 1.000275 0.999885 0.999962
3078.321863 1.000349 0.999866 0.999960
3078.342296 1.000316 0.999875 0.999960
3078.362730 1.000409 0.999881 0.999961
3078.383163 1.000425 0.999889 0.999962
3078.403597 1.000397 0.999897 0.999963
3078.424031 1.000383 0.999906 0.999963
3078.444464 1.000480 0.999907 0.999964
3078.464898 1.000621 0.999913 0.999964
3078.485332 1.000455 0.999922 0.999966
3078.505765 1.000489 0.999928 0.999967
3078.526199 1.000444 0.999936 0.999968
3078.567066 1.000269 0.999864 0.999963
3078.587499 1.000340 0.999866 0.999962
3078.607933 1.000335 0.999867 0.999962
3078.628367 1.000396 0.999873 0.999964
3078.648800 1.000272 0.999879 0.999964
3078.669234 1.000389 0.999883 0.999964
3078.689668 1.000419 0.999885 0.999963
3078.710101 1.000337 0.999891 0.999964
3078.730535 1.000361 0.999895 0.999966
3078.750968 1.000489 0.999897 0.999966
3078.771402 1.000410 0.999907 0.999967
3078.791836 1.000397 0.999917 0.999967
3078.812269 1.000494 0.999923 0.999967
3078.832703 1.000441 0.999937 0.999970
3078.853136 1.000565 0.999938 0.999969
3078.873570 1.000581 0.999947 0.999969
3078.894004 1.000504 0.999959 0.999969
3078.914437 1.000753 0.999966 0.999968
3078.934871 1.000480 0.999983 0.999971
3078.955304 1.000571 0.999996 0.999972
3078.975738 1.000618 1.000004 0.999973
3078.996172 1.000663 1.000015 0.999973
3079.016605 1.000586 1.000029 0.999974
3079.037039 0.999910 0.999834 0.999960
3079.057472 1.000140 0.999792 0.999956
3079.077906 1.000162 0.999806 0.999958
3079.098340 1.000222 0.999813 0.999959
3079.118773 1.000157 0.999821 0.999960
3079.139207 1.000263 0.999829 0.999959
3079.159640 1.000220 0.999839 0.999961
3079.180074 1.000340 0.999844 0.999961
3079.200508 1.000233 0.999853 0.999962
3079.220941 0.990968 0.999970 1.000002
3079.241375 0.985440 1.000045 1.000029
3079.261808 0.987354 1.000029 1.000021
3079.282242 0.998824 0.999906 0.999971
3079.302676 1.000387 0.999899 0.999966
3079.323109 1.000572 0.999909 0.999964
3079.343543 1.000512 0.999914 0.999965
3079.363976 1.000488 0.999924 0.999966
3079.384410 1.000564 0.999933 0.999967
3079.404844 1.000573 0.999938 0.999966
3079.425277 1.000714 0.999945 0.999967
3079.445711 1.000551 0.999955 0.999969
3079.466144 1.000714 0.999963 0.999969
3079.486578 1.000705 0.999973 0.999970
3079.507012 1.000713 0.999979 0.999970
3079.527445 1.000154 0.999860 0.999962
3079.547879 1.000396 0.999844 0.999959
3079.568312 1.000479 0.999846 0.999959
3079.588746 1.000413 0.999857 0.999958
3079.609180 1.000474 0.999865 0.999960
3079.629613 1.000381 0.999867 0.999959
3079.650047 1.000457 0.999874 0.999961
3079.670480 1.000429 0.999880 0.999964
3079.690914 1.000466 0.999881 0.999963
3079.711348 1.000530 0.999890 0.999963
3079.731781 1.000509 0.999893 0.999964
3079.752215 1.000469 0.999900 0.999963
3079.772648 1.000489 0.999905 0.999965
3079.793082 1.000406 0.999906 0.999965
3079.813516 1.000469 0.999908 0.999964
3079.833949 1.000583 0.999909 0.999964
3079.854383 1.000506 0.999913 0.999965
3079.874816 1.000672 0.999916 0.999965
3079.895250 1.000467 0.999921 0.999967
3079.915684 1.000551 0.999919 0.999965
3079.936117 1.000595 0.999920 0.999966
3079.956551 1.000427 0.999927 0.999967
3079.976985 1.000448 0.999928 0.999966
3079.997418 1.000461 0.999930 0.999967
3080.017852 1.000512 0.999931 0.999966
3080.038285 1.000458 0.999933 0.999968
3080.058719 1.000559 0.999931 0.999967
3080.079152 1.000616 0.999932 0.999967
3080.099586 1.000554 0.999934 0.999967
3080.120020 1.000650 0.999938 0.999967
3080.140453 1.000633 0.999939 0.999967
3080.160887 1.000492 0.999942 0.999967
3080.181320 1.000561 0.999946 0.999969
3080.201754 1.000576 0.999948 0.999968
3080.222188 1.000702 0.999947 0.999968
3080.242621 1.000479 0.999954 0.999969
3080.263055 1.000225 0.999887 0.999965
3080.283489 1.000251 0.999841 0.999960
3080.303922 1.000277 0.999838 0.999960
3080.324356 1.000336 0.999844 0.999961
3080.344789 1.000400 0.999842 0.999960
3080.365223 1.000232 0.999854 0.999961
3080.385657 1.000350 0.999856 0.999961
3080.406090 1.000338 0.999864 0.999963
3080.426524 1.000440 0.999865 0.999961
3080.446957 1.000457 0.999868 0.999962
3080.467391 1.000439 0.999873 0.999962
3080.487824 1.000535 0.999876 0.999962
3080.528692 1.000437 0.999910 0.999965
3080.549125 1.000517 0.999915 0.999965
3080.569559 1.000657 0.999917 0.999965
3080.589993 1.000649 0.999923 0.999967
3080.610426 1.000425 0.999934 0.999968
3080.630860 1.000600 0.999934 0.999968
3080.651293 1.000504 0.999942 0.999970
3080.671727 1.000654 0.999948 0.999970
3080.692161 1.000660 0.999948 0.999968
3080.712594 1.000701 0.999955 0.999970
3080.733028 1.000580 0.999960 0.999970
3080.753461 1.000167 0.999871 0.999966
3080.773895 1.000233 0.999842 0.999963
3080.794329 1.000224 0.999841 0.999963
3080.814762 1.000354 0.999842 0.999963
3080.835196 1.000382 0.999844 0.999963
3080.855629 1.000303 0.999848 0.999964
3080.876063 1.000331 0.999847 0.999963
3080.896497 1.000342 0.999851 0.999963
3080.916930 1.000389 0.999849 0.999963
3080.937364 1.000294 0.999850 0.999963
3080.957797 1.000166 0.999852 0.999963
3080.978231 0.989808 0.999974 1.000009
3080.998665 0.985466 1.000031 1.000030
3081.019098 0.987949 1.000006 1.000019
3081.039532 0.999339 0.999875 0.999969
3081.059965 1.000353 0.999865 0.999965
3081.080399 1.000481 0.999865 0.999965
3081.100833 1.000398 0.999865 0.999965
3081.121266 1.000413 0.999864 0.999963
3081.141700 1.000376 0.999870 0.999964
3081.162133 1.000552 0.999868 0.999963
3081.182567 1.000309 0.999873 0.999965
3081.203001 1.000368 0.999874 0.999964
3081.223434 1.000378 0.999877 0.999965
3081.243868 1.000350 0.999876 0.999965
3081.264301 1.000403 0.999882 0.999966
3081.284735 1.000455 0.999881 0.999966
3081.305169 1.000540 0.999883 0.999966
3081.325602 1.000425 0.999884 0.999966
3081.346036 1.000542 0.999888 0.999965
3081.366469 1.000571 0.999889 0.999965
3081.386903 1.000494 0.999894 0.999966
3081.407337 1.000431 0.999899 0.999966
3081.427770 1.000448 0.999902 0.999967
3081.448204 1.000597 0.999904 0.999966
3081.468637 1.000527 0.999908 0.999967
3081.489071 1.000594 0.999905 0.999967
3081.509505 1.000633 0.999908 0.999967
3081.529938 1.000583 0.999910 0.999968
3081.550372 1.000578 0.999914 0.999967
3081.570805 1.000556 0.999916 0.999968
3081.591239 1.000606 0.999918 0.999968
3081.611673 1.000551 0.999923 0.999969
3081.632106 1.000555 0.999928 0.999968
3081.652540 1.000550 0.999929 0.999969
3081.672973 1.000596 0.999930 0.999968
3081.693407 1.000510 0.999933 0.999969
3081.713841 1.000608 0.999934 0.999969
3081.734274 1.000422 0.999942 0.999970
3081.754708 1.000569 0.999946 0.999969
3081.775141 1.000573 0.999948 0.999969
3081.795575 1.000604 0.999953 0.999971
3081.816009 1.000625 0.999959 0.999972
3081.836442 1.000552 0.999963 0.999971
3081.856876 1.000532 0.999969 0.999972
3081.877310 1.000502 0.999972 0.999973
3081.897743 1.000713 0.999969 0.999970
3081.918177 1.000644 0.999973 0.999971
3081.938610 1.000558 0.999978 0.999972
3081.959044 1.000725 0.999978 0.999971
3081.979477 1.000166 0.999860 0.999965
3081.999911 1.000329 0.999840 0.999963
3082.020345 1.000353 0.999844 0.999963
3082.040778 1.000249 0.999851 0.999963
3082.061212 0.999230 0.999880 0.999972
3082.081646 1.000366 0.999859 0.999963
3082.102079 1.000347 0.999866 0.999964
