# Time, flux, Xc, Yc
3.075297689420171082e+03 4.213974000000000000e+06 5.750234313263441663e+02 9.684635237426714411e+02
3.075318123020231724e+03 4.214093000000000000e+06 5.750291728255641601e+02 9.684648630203462290e+02
3.075338556719943881e+03 4.214399000000000000e+06 5.750360260146227347e+02 9.684654604369449089e+02
3.075358990219887346e+03 4.214270000000000000e+06 5.750430829064108593e+02 9.684677317779828627e+02
3.075379423819947988e+03 4.214592000000000000e+06 5.750469855682353000e+02 9.684684384633197851e+02
3.075399857520125806e+03 4.215065000000000000e+06 5.750512746541274964e+02 9.684675280215133171e+02
3.075420291020069271e+03 4.215117000000000000e+06 5.750584828368939725e+02 9.684686097681274077e+02
3.075440724620129913e+03 4.215711000000000000e+06 5.750632771079422128e+02 9.684667272021255258e+02
3.075461158319842070e+03 4.215450000000000000e+06 5.750707675337152978e+02 9.684674874568551104e+02
3.075481591819785535e+03 4.215921000000000000e+06 5.750767606888269938e+02 9.684684442616453453e+02
3.075502025419846177e+03 4.215929000000000000e+06 5.750853377749008359e+02 9.684695112275372821e+02
3.075522459120023996e+03 4.215788000000000000e+06 5.750921927288563893e+02 9.684703108884981475e+02
3.075542892720084637e+03 4.216088000000000000e+06 5.750971806091333747e+02 9.684707238084214396e+02
3.075563326220028102e+03 4.216318000000000000e+06 5.751027778265302004e+02 9.684711288380051428e+02
3.075583759920205921e+03 4.216438000000000000e+06 5.751107024459982995e+02 9.684723292504241954e+02
3.075604193519800901e+03 4.215323000000000000e+06 5.750557632238383121e+02 9.684666577151975844e+02
3.075624627119861543e+03 4.215375000000000000e+06 5.750526778756338899e+02 9.684669392402811354e+02
3.075645060719922185e+03 4.215692000000000000e+06 5.750601393555316463e+02 9.684681637083543819e+02
3.075665494319982827e+03 4.216029000000000000e+06 5.750665773409053827e+02 9.684698319200366541e+02
3.075685928020160645e+03 4.216187000000000000e+06 5.750720904931398536e+02 9.684674508032969698e+02
3.075706361520104110e+03 4.186475000000000000e+06 5.751254227004818631e+02 9.684982193850435124e+02
3.075726795120164752e+03 4.153976000000000000e+06 5.751840482467881657e+02 9.685324241160757310e+02
3.075747228720225394e+03 4.157107000000000000e+06 5.751864770379978609e+02 9.685289534284298725e+02
3.075767662319820374e+03 4.202676000000000000e+06 5.751212284744291310e+02 9.684856201144223178e+02
3.075788095919881016e+03 4.218375000000000000e+06 5.751029951106764884e+02 9.684703552908406436e+02
3.075808529519941658e+03 4.216500000000000000e+06 5.751148663583541065e+02 9.684757384086327647e+02
3.075828963120002300e+03 4.216010000000000000e+06 5.751228109041487642e+02 9.684770050355667763e+02
3.075849396720062941e+03 4.215739000000000000e+06 5.750510228455793822e+02 9.684668298962531026e+02
3.075869830320123583e+03 4.216205000000000000e+06 5.750454299541886485e+02 9.684663966766321437e+02
3.075890263920184225e+03 4.216356000000000000e+06 5.750507926750018441e+02 9.684668543168555743e+02
3.075910697519779205e+03 4.216478000000000000e+06 5.750573063585295586e+02 9.684676462203763094e+02
3.075931131119839847e+03 4.217157000000000000e+06 5.750630642871489044e+02 9.684679180784589789e+02
3.075951564719900489e+03 4.216441000000000000e+06 5.750732525369144241e+02 9.684696133540111305e+02
3.075971998319961131e+03 4.216670000000000000e+06 5.750806171694725890e+02 9.684687710918805124e+02
3.075992431920021772e+03 4.216810000000000000e+06 5.750862716129016690e+02 9.684688575012864931e+02
3.076012865520082414e+03 4.216386000000000000e+06 5.750927279902741702e+02 9.684702560439201307e+02
3.076033299120143056e+03 4.217134000000000000e+06 5.750986022734871312e+02 9.684700863192870202e+02
3.076053732819855213e+03 4.216684000000000000e+06 5.751049687384684148e+02 9.684716416975993525e+02
3.076074166319798678e+03 4.217001000000000000e+06 5.751109700946241219e+02 9.684714160608451721e+02
3.076094599919859320e+03 4.216061000000000000e+06 5.750511662426137036e+02 9.684675031978902098e+02
3.076115033620037138e+03 4.216108000000000000e+06 5.750460298929723422e+02 9.684681566506360468e+02
3.076135467119980603e+03 4.216564000000000000e+06 5.750491366904427650e+02 9.684679231715681453e+02
3.076155900720041245e+03 4.216764000000000000e+06 5.750534193993308918e+02 9.684674755333710436e+02
3.076176334420219064e+03 4.216889000000000000e+06 5.750614313063492773e+02 9.684679651278465826e+02
3.076196767920162529e+03 4.216885000000000000e+06 5.750668763791281890e+02 9.684675911247283011e+02
3.076217201520223171e+03 4.217175000000000000e+06 5.750717966411164070e+02 9.684681124212298755e+02
3.076237635219935328e+03 4.217129000000000000e+06 5.750759262996223242e+02 9.684687340605421468e+02
3.076258068719878793e+03 4.217272000000000000e+06 5.750821867785621180e+02 9.684682531740897957e+02
3.076278502420056611e+03 4.216891000000000000e+06 5.750944368730422411e+02 9.684708371641571603e+02
3.076298936020117253e+03 4.216606000000000000e+06 5.750989947839565275e+02 9.684717495540252230e+02
3.076319369520060718e+03 4.216961000000000000e+06 5.751060393966175752e+02 9.684724025192549561e+02
3.076339803219772875e+03 4.215322000000000000e+06 5.750363794272418545e+02 9.684661741143381732e+02
3.076360236819833517e+03 4.216124000000000000e+06 5.750300100281680216e+02 9.684656400048954765e+02
3.076380670419894159e+03 4.216591000000000000e+06 5.750363587552124045e+02 9.684671655372787882e+02
3.076401104019954801e+03 4.216416000000000000e+06 5.750431888124891202e+02 9.684688111894082567e+02
3.076421537620015442e+03 4.216049000000000000e+06 5.750494728595422202e+02 9.684708839958927911e+02
3.076441971220076084e+03 4.216415000000000000e+06 5.750560983679263245e+02 9.684707105443842465e+02
3.076462404820136726e+03 4.216846000000000000e+06 5.750605521282968766e+02 9.684698634951336089e+02
3.076482838420197368e+03 4.217264000000000000e+06 5.750649606000478116e+02 9.684687771503040494e+02
3.076503272019792348e+03 4.216973000000000000e+06 5.750733535642746119e+02 9.684697174964127271e+02
3.076523705619852990e+03 4.217091000000000000e+06 5.750810022833275070e+02 9.684688504469075951e+02
3.076544139219913632e+03 4.217100000000000000e+06 5.750872087453462882e+02 9.684696775034976781e+02
3.076564572819974273e+03 4.217306000000000000e+06 5.750925434388683470e+02 9.684722346445811354e+02
3.076585006420034915e+03 3.634300000000000000e+06 5.764707693365985506e+02 9.696311798695759308e+02
3.076605440020095557e+03 4.214094000000000000e+06 5.749947485746639586e+02 9.684639234435682056e+02
3.076625873520039022e+03 4.215243000000000000e+06 5.749816155320108919e+02 9.684615541737451849e+02
3.076646307220216841e+03 4.215712000000000000e+06 5.749840657995612219e+02 9.684612805618600078e+02
3.076666740819811821e+03 4.215656000000000000e+06 5.749884841172998904e+02 9.684615011281755415e+02
3.076687174320220947e+03 4.216009000000000000e+06 5.749945621558208586e+02 9.684613038065145929e+02
3.076707608019933105e+03 4.215459000000000000e+06 5.749988150756537379e+02 9.684626732225364094e+02
3.076728041619993746e+03 4.215768000000000000e+06 5.750027548954307122e+02 9.684622142394932780e+02
3.076748475220054388e+03 4.215917000000000000e+06 5.750082202756838115e+02 9.684625721995950016e+02
3.076768908820115030e+03 4.216274000000000000e+06 5.750131300764609250e+02 9.684633681302495916e+02
3.076789342420175672e+03 4.216366000000000000e+06 5.750184417102310590e+02 9.684648986828942725e+02
3.076809776020236313e+03 4.216387000000000000e+06 5.750226065586484765e+02 9.684657096229544777e+02
3.076830209619831294e+03 4.216613000000000000e+06 5.750355247209074605e+02 9.684659111471695496e+02
3.076850643219891936e+03 4.216559000000000000e+06 5.750382895152184801e+02 9.684660800429924166e+02
3.076871076920069754e+03 4.216130000000000000e+06 5.750451162559029399e+02 9.684706553166055301e+02
3.076891510520130396e+03 4.216482000000000000e+06 5.750494151285361113e+02 9.684703539585843828e+02
3.076911944020073861e+03 4.216651000000000000e+06 5.750517621686025223e+02 9.684692754984939711e+02
3.076932377719786018e+03 4.216465000000000000e+06 5.750575904223087491e+02 9.684714325863016029e+02
3.076952811319846660e+03 4.216881000000000000e+06 5.750618343273143864e+02 9.684707429495875886e+02
3.076973244819790125e+03 4.217362000000000000e+06 5.750674163137999813e+02 9.684696720366902127e+02
3.076993678519967943e+03 4.217064000000000000e+06 5.750738416585567165e+02 9.684703464305972602e+02
3.077014112120028585e+03 4.216680000000000000e+06 5.750804417219234210e+02 9.684718079152319206e+02
3.077034545619972050e+03 4.216930000000000000e+06 5.750830990791879458e+02 9.684711524734818795e+02
3.077054979320149869e+03 4.216948000000000000e+06 5.750878813302890649e+02 9.684723513308676957e+02
3.077075412920210510e+03 4.215187000000000000e+06 5.750042135734429394e+02 9.684640278118147307e+02
3.077095846420153975e+03 4.215401000000000000e+06 5.749925072371524948e+02 9.684613349951760028e+02
