# Time, Flux
3.080099586119875312e+03 1.002812043703942946e+00
3.080120019619818777e+03 1.003003912341766002e+00
3.080140453219879419e+03 1.002912359638381545e+00
3.080160886920057237e+03 1.002682209517531398e+00
3.080181320420000702e+03 1.002878459770881747e+00
3.080201754020061344e+03 1.002753699034028001e+00
3.080222187719773501e+03 1.002958712518432716e+00
3.080242621319834143e+03 1.002515708127497573e+00
3.080263054819777608e+03 1.002818039598874833e+00
3.080283488519955426e+03 1.003046575440320387e+00
3.080303922120016068e+03 1.003009677625354312e+00
3.080324355720076710e+03 1.003056491728092414e+00
3.080344789320137352e+03 1.003317313157633173e+00
3.080365222820080817e+03 1.002851478243687700e+00
3.080385656519792974e+03 1.002997685835490538e+00
3.080406090119853616e+03 1.002930116711834074e+00
3.080426523619797081e+03 1.003028818366868080e+00
3.080446957319974899e+03 1.002833259947548239e+00
3.080467390920035541e+03 1.003032046925677490e+00
3.080549125220160931e+03 1.002818270210218410e+00
3.080569558919873089e+03 1.002919739201374894e+00
3.080589992519933730e+03 1.002938188108857931e+00
3.080610426019877195e+03 1.002380800491528223e+00
3.080630859720055014e+03 1.002717493053092657e+00
3.080651293320115656e+03 1.002614179171188002e+00
3.080671726920176297e+03 1.002835335449640208e+00
3.080692160519771278e+03 1.002828647720677591e+00
3.080712594119831920e+03 1.002738939908041527e+00
3.080733027719892561e+03 1.002618099564027920e+00
3.080753461420070380e+03 1.002938418720201286e+00
3.080773894920013845e+03 1.002785754010779629e+00
3.080794328520074487e+03 1.002696046198143565e+00
3.080814762219786644e+03 1.003071942688109397e+00
3.080835195720195770e+03 1.003113452729946120e+00
3.080855629319790751e+03 1.002961018631868040e+00
3.080876063019968569e+03 1.002951563566782944e+00
3.080896496519912034e+03 1.003166493338959686e+00
3.080916930119972676e+03 1.002988922604435951e+00
3.080937363820150495e+03 1.002976930814572176e+00
3.080957797320093960e+03 1.002817578376187901e+00
3.080978230920154601e+03 9.923748049067876442e-01
3.080998664520215243e+03 9.880432320411263181e-01
3.081019098119810224e+03 9.903867045141524494e-01
3.081039531819988042e+03 1.001825949598977417e+00
3.081059965319931507e+03 1.002848480296221867e+00
3.081080398919992149e+03 1.003041271379419008e+00
3.081100832620169967e+03 1.003114144563976851e+00
3.081121266219764948e+03 1.002960096186493955e+00
3.081141699720174074e+03 1.002906133132106081e+00
3.081162133419886231e+03 1.003124522074436031e+00
3.081182567019946873e+03 1.002738248074011018e+00
3.081203000519890338e+03 1.002805817197667482e+00
3.081223434220068157e+03 1.002850094575626461e+00
3.081243867820128798e+03 1.002828186497990437e+00
3.081264301320072263e+03 1.002693740084708240e+00
3.081284735019784421e+03 1.002852170077718430e+00
3.081305168619845062e+03 1.002940032999606101e+00
3.081325602119788527e+03 1.002665374889453176e+00
3.081346035819966346e+03 1.002948335007973535e+00
3.081366469420026988e+03 1.002975777757854292e+00
3.081386902919970453e+03 1.002924120816901965e+00
3.081407336620148271e+03 1.002837872174419109e+00
3.081427770220208913e+03 1.002794056019147062e+00
3.081448203720152378e+03 1.002814580428721847e+00
3.081468637419864535e+03 1.002806278420354413e+00
3.081489071019925177e+03 1.003053724391969936e+00
3.081509504619985819e+03 1.003124983297122963e+00
3.081529938220046461e+03 1.002894371953585662e+00
3.081550371820107102e+03 1.002924582039589119e+00
3.081570805420167744e+03 1.002976008369197869e+00
3.081591239119879901e+03 1.002828878332021167e+00
3.081611672619823366e+03 1.002865314924300089e+00
3.081632106219884008e+03 1.002825188550524604e+00
